index, x, y, layer, weight, rho, delta, nh, isSeed, clusterId
0, -51.860, -64.090, 0, 1.000, 43.000,  1.12, 297, 0, 12
1, 171.870, -154.070, 0, 1.000, 51.000,   2.6, 495, 0, 2
2, -108.290, 15.320, 0, 1.000, 60.000,  3.44, 681, 0, 12
3, 175.750, -161.110, 0, 1.000, 47.000,  1.18, 251, 0, 2
4, -111.260, 129.910, 0, 1.000, 49.500,  5.29, 697, 0, 14
5, 165.020, -115.510, 0, 1.000, 59.500,  4.14, 554, 0, 2
6, -53.660, 61.400, 0, 1.000, 64.000,   1.1, 721, 0, 14
7, -139.170, 188.110, 0, 1.000, 11.000,  11.7, 637, 0, 14
8, -110.050, 32.220, 0, 1.000, 51.500,  2.93, 260, 0, 12
9, 175.940, -159.840, 0, 1.000, 47.000,  2.29, 251, 0, 2
10, -103.800, 13.960, 0, 1.000, 59.000, 0.983, 780, 0, 12
11, 181.010, -188.690, 0, 1.000, 28.000,  11.4, 142, 0, 2
12, -101.710, 22.500, 0, 1.000, 58.500,  5.16, 754, 0, 12
13, -116.160, 127.680, 0, 1.000, 45.500,  5.38, 4, 0, 14
14, -79.170, 88.970, 0, 1.000, 71.500,  11.9, 185, 0, 14
15, -16.930, 21.150, 0, 1.000, 34.500, 0.362, 870, 0, 14
16, -65.610, -69.200, 0, 1.000, 41.000,  3.81, 184, 0, 12
17, 76.040, -9.570, 0, 1.000, 19.000,  6.54, 516, 0, 2
18, -100.320, 12.870, 0, 1.000, 61.000,  1.94, 988, 0, 12
19, 168.810, -122.360, 0, 1.000, 59.000,  3.72, 76, 0, 2
20, -37.490, 61.720, 0, 1.000, 59.500,  1.14, 809, 0, 14
21, -78.550, 91.430, 0, 1.000, 71.000,  2.54, 14, 0, 14
22, -111.720, 159.340, 0, 1.000, 28.000,  5.15, 368, 0, 14
23, 106.520, -85.720, 0, 1.000, 53.000,  4.53, 670, 0, 2
24, -92.020, 106.330, 0, 1.000, 63.500,     5, 78, 0, 14
25, -110.990, 0.480, 0, 1.000, 56.500,  2.21, 250, 0, 12
26, 167.880, -132.260, 0, 1.000, 57.000,  5.04, 517, 0, 2
27, -63.530, -55.650, 0, 1.000, 48.500,  1.46, 597, 0, 12
28, -97.340, 132.280, 0, 1.000, 53.500,  2.87, 140, 0, 14
29, 219.790, -213.650, 0, 1.000, 11.000,  2.49, 851, 0, 2
30, -28.960, -3.640, 0, 1.000, 27.000,  18.5, 452, 0, 14
31, 84.570, -47.620, 0, 1.000, 38.500,  7.99, 515, 0, 2
32, -103.570, 36.510, 0, 1.000, 50.000,  1.88, 443, 0, 12
33, -24.900, 18.550, 0, 1.000, 36.000,  5.77, 255, 0, 14
34, 175.830, -140.580, 0, 1.000, 52.500,  2.27, 498, 0, 2
35, 154.070, -122.770, 0, 1.000, 63.500,  1.71, 298, 0, 2
36, -140.310, 48.160, 0, 1.000, 33.000,  2.51, 664, 0, 12
37, 190.810, -166.440, 0, 1.000, 38.000,  0.64, 169, 0, 2
38, -4.190, 16.840, 0, 1.000, 26.500,  1.95, 407, 0, 14
39, -94.040, -13.050, 0, 1.000, 64.500,  2.63, 329, 0, 12
40, 95.240, -58.560, 0, 1.000, 47.000,  6.05, 717, 0, 2
41, -53.800, 51.740, 0, 1.000, 58.000,  2.84, 416, 0, 14
42, 187.090, -158.930, 0, 1.000, 45.000,  5.18, 715, 0, 2
43, 127.220, -77.220, 0, 1.000, 63.000,  3.31, 803, 0, 2
44, 186.610, -172.350, 0, 1.000, 36.000,  5.69, 719, 0, 2
45, -101.160, 131.100, 0, 1.000, 53.000,     4, 28, 0, 14
46, -72.950, 83.150, 0, 1.000, 68.000,  3.64, 724, 0, 14
47, -97.060, -5.180, 0, 1.000, 64.000,  1.55, 52, 0, 12
48, -161.150, 104.190, 0, 1.000, 16.000,  3.05, 58, 0, 12
49, -10.020, 9.480, 0, 1.000, 26.500,  2.31, 116, 0, 14
50, -126.790, 62.310, 0, 1.000, 34.000,  7.94, 853, 0, 12
51, -43.890, -59.220, 0, 1.000, 42.500,  4.41, 97, 0, 12
52, -98.460, -5.840, 0, 1.000, 64.000,  4.25, 392, 0, 12
53, -73.140, -15.790, 0, 1.000, 66.000,  3.75, 748, 0, 12
54, 160.670, -86.580, 0, 1.000, 44.500,  8.53, 595, 0, 2
55, -55.900, -57.920, 0, 1.000, 46.500,  1.94, 674, 0, 12
56, -96.790, 15.950, 0, 1.000, 60.000,   2.1, 784, 0, 12
57, 25.750, 34.990, 0, 1.000, 8.000,  27.3, 367, 0, 14
58, -160.730, 101.170, 0, 1.000, 16.500,  3.37, 83, 0, 12
59, -82.120, 112.960, 0, 1.000, 64.000,  3.87, 335, 0, 14
60, 183.960, -153.180, 0, 1.000, 47.500,   3.8, 101, 0, 2
61, -44.710, 71.940, 0, 1.000, 62.500,  2.51, 402, 0, 14
62, -59.660, 92.900, 0, 1.000, 67.500,  1.18, 448, 0, 14
63, -60.870, 94.890, 0, 1.000, 67.500, 0.478, 277, 0, 14
64, -97.490, 2.790, 0, 1.000, 62.000,  2.13, 365, 0, 12
65, -18.160, 29.480, 0, 1.000, 41.500,     6, 755, 0, 14
66, -43.310, -56.360, 0, 1.000, 41.500,  2.92, 51, 0, 12
67, -49.270, 74.550, 0, 1.000, 64.000,  2.02, 291, 0, 14
68, 166.780, -105.160, 0, 1.000, 55.500,  7.46, 263, 0, 2
69, -76.400, 114.460, 0, 1.000, 63.500, 0.858, 225, 0, 14
70, -85.100, 126.030, 0, 1.000, 56.000,  4.92, 239, 0, 14
71, 131.020, -77.860, 0, 1.000, 61.500,  2.04, 235, 0, 2
72, -74.890, -41.020, 0, 1.000, 55.500,  3.58, 772, 0, 12
73, -72.810, 116.090, 0, 1.000, 62.500,  3.11, 689, 0, 14
74, -1.310, 17.280, 0, 1.000, 26.500,  3.15, 407, 0, 14
75, -108.140, 40.380, 0, 1.000, 47.500,  5.14, 735, 0, 12
76, 167.100, -125.660, 0, 1.000, 60.000,  7.08, 554, 0, 2
77, -139.620, 40.720, 0, 1.000, 36.000,  1.96, 377, 0, 12
78, -87.890, 103.520, 0, 1.000, 67.000,  5.83, 307, 0, 14
79, -93.730, 125.530, 0, 1.000, 57.500,  6.52, 207, 0, 14
80, 116.970, -82.760, 0, 1.000, 62.500,  3.52, 881, 0, 2
81, -103.690, 36.700, 0, 1.000, 49.500, 0.225, 32, 0, 12
82, -34.760, 51.540, 0, 1.000, 56.000,  3.86, 324, 0, 14
83, -157.480, 102.050, 0, 1.000, 17.000,  3.72, 426, 0, 12
84, -76.090, 130.530, 0, 1.000, 50.500,  5.66, 886, 0, 14
85, -124.540, 47.150, 0, 1.000, 39.000,  1.98, 95, 0, 12
86, -122.470, 148.290, 0, 1.000, 28.000,  3.29, 378, 0, 14
87, -16.910, 25.950, 0, 1.000, 38.000,  3.74, 65, 0, 14
88, 14.110, -3.900, 0, 1.000, 15.000,  12.8, 423, 0, 14
89, -77.910, 132.600, 0, 1.000, 50.000,  2.76, 84, 0, 14
90, -104.540, 26.510, 0, 1.000, 57.500,  3.54, 754, 0, 12
91, -128.340, 51.190, 0, 1.000, 38.500,  5.03, 855, 0, 12
